epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,4959.31,1.17623,1.80771,1.01174,1.17887,0.79354,0.73937,0.81483,0.53092,0.80697,0.74469,0.82206,0.52919,1.23306,1.89036,0.94522,1.2825,0.0097228,0.0097228,0.0097228
30,5129.04,1.17718,1.80922,1.01383,1.17843,0.78955,0.76427,0.82321,0.52625,0.7931,0.76793,0.82471,0.51911,1.26032,1.92437,0.95351,1.29092,0.0097129,0.0097129,0.0097129
31,5299.16,1.17472,1.8058,0.99617,1.17982,0.78485,0.72893,0.80618,0.52811,0.81672,0.74575,0.82298,0.52621,1.25672,1.89064,0.94099,1.30263,0.009703,0.009703,0.009703
32,5468.95,1.16374,1.78817,0.98728,1.17377,0.72939,0.81304,0.8255,0.53092,0.82188,0.75393,0.84471,0.5304,1.2648,1.86832,0.92918,1.29384,0.0096931,0.0096931,0.0096931
33,5639.38,1.1652,1.79015,0.99213,1.17247,0.71528,0.76434,0.80091,0.52603,0.81608,0.71278,0.81241,0.51486,1.25404,1.88786,0.94921,1.27138,0.0096832,0.0096832,0.0096832
34,5810.11,1.15857,1.78022,0.97896,1.16936,0.77522,0.74839,0.81421,0.53852,0.79604,0.76123,0.8262,0.53239,1.24764,1.88851,0.94097,1.27467,0.0096733,0.0096733,0.0096733
35,5979.76,1.15217,1.78616,0.98086,1.15832,0.8083,0.75505,0.83265,0.54027,0.83525,0.7477,0.83721,0.53644,1.24708,1.87265,0.91239,1.28408,0.0096634,0.0096634,0.0096634
36,6150.54,1.15194,1.77294,0.97124,1.16007,0.7673,0.76658,0.81875,0.53745,0.8839,0.71229,0.84094,0.53688,1.24923,1.85857,0.94465,1.28207,0.0096535,0.0096535,0.0096535
37,6320.44,1.1453,1.76118,0.9678,1.15724,0.77695,0.77227,0.82456,0.54112,0.79524,0.79001,0.84316,0.53475,1.25197,1.86967,0.92045,1.28543,0.0096436,0.0096436,0.0096436
38,6490.32,1.14203,1.75574,0.94591,1.15718,0.79659,0.76965,0.83383,0.54679,0.80641,0.77858,0.84485,0.54379,1.22262,1.86023,0.89953,1.26895,0.0096337,0.0096337,0.0096337
39,6660.75,1.14415,1.76645,0.96086,1.15522,0.8279,0.73496,0.82625,0.5375,0.85482,0.74482,0.83793,0.53996,1.24629,1.86647,0.91366,1.27739,0.0096238,0.0096238,0.0096238
40,6831.23,1.1404,1.76649,0.94797,1.15292,0.80177,0.73104,0.81525,0.53834,0.83078,0.75366,0.83592,0.53862,1.22444,1.84059,0.92234,1.25802,0.0096139,0.0096139,0.0096139
41,7001.1,1.14735,1.75588,0.9561,1.15915,0.83701,0.73302,0.83271,0.54492,0.84591,0.74852,0.84958,0.53624,1.23962,1.87644,0.89897,1.26722,0.009604,0.009604,0.009604
42,7170.67,1.12868,1.73863,0.9413,1.14565,0.83304,0.74646,0.83685,0.54863,0.85314,0.75939,0.85167,0.54356,1.24057,1.85157,0.89393,1.2761,0.0095941,0.0095941,0.0095941
43,7340.74,1.12588,1.73738,0.93572,1.14252,0.81284,0.7445,0.82866,0.54413,0.85625,0.75355,0.84745,0.54531,1.23162,1.86553,0.90737,1.26802,0.0095842,0.0095842,0.0095842
44,7510.32,1.13484,1.73884,0.93269,1.14748,0.78413,0.77058,0.83295,0.55803,0.80639,0.78416,0.84423,0.55154,1.19912,1.84318,0.89149,1.24592,0.0095743,0.0095743,0.0095743
45,7680.22,1.12484,1.73974,0.93678,1.1484,0.84764,0.73324,0.83583,0.55095,0.85959,0.7523,0.84301,0.54752,1.2154,1.85764,0.89478,1.25641,0.0095644,0.0095644,0.0095644
46,7849.53,1.12613,1.74283,0.92264,1.14195,0.75406,0.7846,0.83328,0.54814,0.83585,0.75006,0.84187,0.53995,1.23113,1.86222,0.88878,1.25741,0.0095545,0.0095545,0.0095545
47,8019.55,1.11937,1.73008,0.92184,1.13742,0.82404,0.72867,0.83161,0.54791,0.84571,0.75296,0.8484,0.54402,1.24375,1.87986,0.8833,1.2835,0.0095446,0.0095446,0.0095446
48,8189,1.11927,1.73535,0.92537,1.13734,0.77694,0.76144,0.82895,0.54915,0.83756,0.75004,0.84268,0.54309,1.21702,1.89352,0.90466,1.2643,0.0095347,0.0095347,0.0095347
49,8358.82,1.11445,1.7311,0.91765,1.14095,0.81692,0.75962,0.83913,0.54745,0.83079,0.77006,0.84506,0.54166,1.24232,1.87897,0.88389,1.27936,0.0095248,0.0095248,0.0095248
50,8528.09,1.10627,1.70126,0.90072,1.13209,0.77581,0.77247,0.8294,0.5464,0.82822,0.75337,0.83448,0.54461,1.23682,1.87146,0.89313,1.28173,0.0095149,0.0095149,0.0095149
51,8697.31,1.12411,1.7257,0.91646,1.14094,0.83632,0.74209,0.8377,0.5489,0.84629,0.74744,0.8402,0.54161,1.23942,1.90262,0.88136,1.28566,0.009505,0.009505,0.009505
52,8866.91,1.11273,1.7143,0.91061,1.13458,0.78089,0.76726,0.82767,0.54462,0.80152,0.78201,0.83837,0.53933,1.25182,1.88517,0.88999,1.2909,0.0094951,0.0094951,0.0094951
53,9036.69,1.10215,1.70466,0.90513,1.13288,0.77785,0.80044,0.83844,0.55907,0.78603,0.80309,0.84524,0.55032,1.22112,1.85554,0.86528,1.27054,0.0094852,0.0094852,0.0094852
54,9206.88,1.10373,1.70535,0.89407,1.1286,0.82082,0.74119,0.83559,0.55723,0.84527,0.7385,0.84219,0.54919,1.22448,1.87478,0.85931,1.27039,0.0094753,0.0094753,0.0094753
55,9376.68,1.10459,1.70198,0.89658,1.12892,0.76684,0.78719,0.83346,0.5515,0.79781,0.77459,0.83724,0.54523,1.23084,1.86036,0.87652,1.27712,0.0094654,0.0094654,0.0094654
56,9544.82,1.10198,1.69613,0.89964,1.12582,0.78032,0.76462,0.83013,0.54762,0.80185,0.76616,0.83855,0.54068,1.23349,1.87395,0.89461,1.27167,0.0094555,0.0094555,0.0094555
57,9712.94,1.09318,1.68471,0.87313,1.1236,0.79806,0.76157,0.83514,0.55494,0.80424,0.77707,0.84373,0.54635,1.23255,1.88361,0.87298,1.27974,0.0094456,0.0094456,0.0094456
58,9881.18,1.09497,1.70647,0.88895,1.12597,0.81957,0.74757,0.8408,0.55392,0.8374,0.75229,0.84421,0.54535,1.23638,1.88955,0.86855,1.27844,0.0094357,0.0094357,0.0094357
59,10049.2,1.09701,1.68278,0.88512,1.12486,0.80396,0.75531,0.83548,0.55314,0.82027,0.76327,0.84355,0.54516,1.23942,1.90076,0.86733,1.27982,0.0094258,0.0094258,0.0094258
60,10217.6,1.08708,1.68256,0.87141,1.12202,0.79458,0.7475,0.83085,0.55191,0.82997,0.74835,0.83997,0.5443,1.23047,1.88106,0.88344,1.27157,0.0094159,0.0094159,0.0094159
61,10385.5,1.08905,1.67721,0.87183,1.12126,0.80695,0.7445,0.83175,0.55103,0.84198,0.75183,0.83939,0.54516,1.23242,1.87418,0.87572,1.269,0.009406,0.009406,0.009406
62,10554.1,1.08861,1.67551,0.86616,1.12391,0.77262,0.75629,0.8284,0.55373,0.82583,0.75066,0.83663,0.54354,1.22493,1.8752,0.88198,1.26388,0.0093961,0.0093961,0.0093961
63,10722.9,1.08946,1.67009,0.85869,1.11682,0.79569,0.73717,0.82556,0.55111,0.81569,0.7531,0.83726,0.54419,1.2332,1.88114,0.87501,1.27048,0.0093862,0.0093862,0.0093862
64,10892.3,1.08551,1.6783,0.86544,1.11393,0.81641,0.73859,0.82898,0.55021,0.83193,0.7486,0.83732,0.54291,1.22873,1.87067,0.87163,1.2671,0.0093763,0.0093763,0.0093763
65,11060.4,1.08509,1.66464,0.8539,1.11635,0.80679,0.75083,0.83108,0.55117,0.82298,0.76277,0.83985,0.54451,1.23604,1.87017,0.86536,1.27169,0.0093664,0.0093664,0.0093664
66,11228,1.08075,1.66336,0.8554,1.11477,0.7953,0.77419,0.83482,0.55293,0.81171,0.7911,0.84677,0.5479,1.24039,1.86925,0.86257,1.28326,0.0093565,0.0093565,0.0093565
67,11396.3,1.08309,1.65207,0.85292,1.11184,0.78832,0.77309,0.83253,0.55164,0.80285,0.77976,0.84001,0.5459,1.23781,1.88761,0.86982,1.27887,0.0093466,0.0093466,0.0093466
68,11563.9,1.0794,1.66069,0.84903,1.11507,0.7979,0.76269,0.83345,0.55243,0.82888,0.75968,0.84425,0.54804,1.23142,1.88195,0.86686,1.27461,0.0093367,0.0093367,0.0093367
